weight,description,dueDate,assignedDate,title
48.51,"Revision of Drainage Device in Pancreatic Duct, Via Natural or Artificial Opening",14.04.2020,30.06.2020,Mat Lam Tam
33.04,"Extirpation of Matter from Tibial Nerve, Percutaneous Endoscopic Approach",15.05.2019,10.10.2020,Cardify
27.04,"Supplement Left Hip Joint with Liner, Open Approach",05.05.2020,01.12.2020,Viva
74.84,"Reposition Sacrococcygeal Joint, Open Approach",06.01.2020,20.12.2019,Overhold
70.89,"Excision of Left Lower Lung Lobe, Percutaneous Approach, Diagnostic",06.06.2019,25.12.2020,Prodder
30.85,"Bypass Right Common Iliac Artery to Left External Iliac Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",21.11.2019,16.12.2020,Biodex
17.14,"Revision of Synthetic Substitute in Hepatobiliary Duct, Percutaneous Approach",08.08.2020,20.03.2021,Y-find
75.98,"Transplantation of Heart, Allogeneic, Open Approach",16.10.2019,30.06.2020,Tres-Zap
7.11,"Release Right Shoulder Joint, External Approach",26.05.2021,26.10.2020,Bitwolf
85.08,"Revision of Monitoring Device in Lower Intestinal Tract, Open Approach",24.07.2020,30.03.2020,Vagram
61.9,"Monitoring of Respiratory Resistance, External Approach",11.03.2021,17.08.2020,Toughjoyfax
67.81,"Supplement Left Toe Phalanx with Synthetic Substitute, Percutaneous Endoscopic Approach",01.09.2019,04.03.2021,Voyatouch
99.56,"Excision of Left Metatarsal, Percutaneous Endoscopic Approach",25.10.2020,26.04.2021,Y-Solowarm
95.1,"Replacement of Right Thumb Phalanx with Nonautologous Tissue Substitute, Percutaneous Approach",11.08.2019,11.10.2019,Fintone
29.11,"Dilation of Right Thyroid Artery with Drug-eluting Intraluminal Device, Open Approach",21.09.2020,01.02.2021,Stronghold
68.91,"Dilation of Right Internal Mammary Artery with Three Intraluminal Devices, Percutaneous Approach",24.11.2020,02.08.2020,Veribet
69.42,"Fragmentation in Duodenum, Open Approach",15.12.2019,08.04.2020,Tres-Zap
99.16,"Replacement of Left Subclavian Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",17.12.2020,11.09.2020,Aerified
88,"Replacement of Right Upper Femur with Nonautologous Tissue Substitute, Percutaneous Approach",31.03.2021,05.02.2020,Matsoft
81.83,"Destruction of Right Upper Extremity Lymphatic, Open Approach",22.01.2021,16.03.2020,Home Ing
9.89,"Dilation of Right Radial Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach",16.02.2020,14.02.2020,Y-find
3.48,"Supplement Pulmonary Valve with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",16.12.2020,29.12.2019,Zoolab
31.22,"Supplement Left Tympanic Membrane with Synthetic Substitute, Open Approach",11.03.2021,31.10.2020,Regrant
82.87,"Introduction of Recombinant Bone Morphogenetic Protein into Joints, Open Approach",03.07.2019,15.01.2020,Tampflex
59.26,"Bypass Left Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach",31.08.2019,06.05.2020,Konklux
67.8,Beam Radiation of Arm Skin using Photons 1 - 10 MeV,24.12.2019,18.07.2020,Trippledex
44.68,"Drainage of Left Vocal Cord, Via Natural or Artificial Opening, Diagnostic",21.11.2020,19.11.2020,Tin
85.54,"Release Inferior Mesenteric Artery, Percutaneous Approach",21.02.2021,22.06.2020,Flexidy
18.23,"Removal of Internal Fixation Device from Right Hip Joint, Percutaneous Endoscopic Approach",21.07.2020,06.10.2019,Rank
13.84,"Dilation of Right Foot Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach",17.10.2019,17.11.2020,Home Ing
73.18,Low Dose Rate (LDR) Brachytherapy of Duodenum using Californium 252 (Cf-252),22.11.2020,29.06.2020,Zontrax
21.32,"Removal of Intraluminal Device from Uterus and Cervix, Via Natural or Artificial Opening",26.11.2019,07.12.2019,Tin
78.41,"Repair Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic",19.04.2021,25.03.2020,Fix San
64.46,"Release Left Foot Subcutaneous Tissue and Fascia, Open Approach",24.02.2021,29.03.2020,Quo Lux
21.34,"Supplement Right Ventricle with Nonautologous Tissue Substitute, Percutaneous Approach",01.07.2019,01.12.2019,Tresom
38.79,"Bypass Pulmonary Trunk from Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",03.08.2020,24.04.2021,Zaam-Dox
75.89,"Supplement Right Wrist Bursa and Ligament with Synthetic Substitute, Open Approach",20.11.2020,30.10.2020,Stringtough
78.81,"Drainage of Left Lower Extremity, Percutaneous Endoscopic Approach",21.05.2019,14.07.2020,Trippledex
85.67,"Excision of Left Thorax Bursa and Ligament, Percutaneous Approach, Diagnostic",29.01.2020,21.04.2021,Stringtough
80.49,"Drainage of Bilateral Ovaries, Percutaneous Endoscopic Approach",30.10.2019,04.04.2020,Pannier
28.15,"Drainage of Right Eustachian Tube with Drainage Device, Via Natural or Artificial Opening",26.07.2020,18.09.2020,Bitchip
53.16,Plain Radiography of Right Salivary Gland using Other Contrast,07.08.2020,14.03.2021,Andalax
87.93,"Supplement Mitral Valve created from Left Atrioventricular Valve with Nonautologous Tissue Substitute, Open Approach",08.10.2019,06.02.2020,Ventosanzap
56.27,"Release Right Common Iliac Artery, Percutaneous Endoscopic Approach",11.02.2020,17.06.2020,Bytecard
77.5,Fluoroscopy of Sternum using Low Osmolar Contrast,11.07.2019,09.09.2020,Namfix
84.72,"Drainage of Right Upper Arm, Percutaneous Approach, Diagnostic",11.03.2020,18.01.2020,Treeflex
7.76,"Removal of Autologous Tissue Substitute from Right Tarsal, Percutaneous Approach",14.03.2021,04.06.2020,Rank
46.61,"Revision of Drainage Device in Occipital-cervical Joint, Percutaneous Endoscopic Approach",09.09.2019,04.10.2019,Flexidy
45.79,"Revision of Autologous Tissue Substitute in Right Rib, Percutaneous Approach",04.03.2021,01.09.2020,Y-find
78.1,"Excision of Right Upper Eyelid, Open Approach",12.09.2020,27.08.2020,Subin
89.39,"Drainage of Lower Gingiva, External Approach",17.05.2020,11.12.2020,Tampflex
75.81,"Drainage of Lung Lingula with Drainage Device, Open Approach",04.03.2021,06.02.2020,Ronstring
31.91,High Dose Rate (HDR) Brachytherapy of Liver using Iodine 125 (I-125),04.03.2021,20.03.2021,Cardguard
56.78,"Fusion of Left Metatarsal-Tarsal Joint with Autologous Tissue Substitute, Percutaneous Approach",05.08.2019,28.09.2020,Hatity
61.4,"Reposition Left Kidney, Percutaneous Endoscopic Approach",04.11.2019,02.01.2021,Konklux
23.8,"Lower Arteries, Bypass",11.07.2020,10.02.2021,Y-find
99.86,Computerized Tomography (CT Scan) of Bilateral Pulmonary Veins using Other Contrast,23.01.2020,23.12.2020,Stronghold
66.65,"Supplement Left Vocal Cord with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic",30.10.2020,24.06.2020,Lotstring
28.97,"Muscle Performance Assessment of Integumentary System - Head and Neck using Assistive, Adaptive, Supportive or Protective Equipment",03.01.2020,21.12.2019,Tempsoft
11.22,"Occlusion of Right Radial Artery, Percutaneous Endoscopic Approach",20.09.2019,25.01.2021,Voyatouch
84.3,"Insertion of Intraluminal Device into Right Ulnar Artery, Open Approach",14.08.2020,17.02.2021,Voltsillam
11.25,"Revision of Internal Fixation Device in Left Tarsal Joint, External Approach",24.02.2021,26.10.2020,Zoolab
19.38,"Restriction of Left Renal Vein with Extraluminal Device, Percutaneous Endoscopic Approach",09.07.2019,12.12.2019,Lotstring
67.99,"Excision of Right Upper Arm Tendon, Open Approach, Diagnostic",04.02.2020,08.05.2020,Andalax
4.45,"Excision of Left Ulna, Open Approach, Diagnostic",19.10.2020,07.10.2019,Konklux
52.93,Ultrasonography of Right Hip,31.07.2019,03.08.2020,Prodder
54.04,"Revision of Synthetic Substitute in Upper Tendon, External Approach",26.01.2021,09.12.2019,Duobam
22.62,"Excision of Right Radius, Percutaneous Approach",18.07.2019,27.08.2020,Tin
57.16,"Destruction of Left Thumb Phalanx, Percutaneous Approach",08.04.2020,11.07.2020,Alpha
93.51,"Revision of Internal Fixation Device in Nasal Bone, Percutaneous Endoscopic Approach",03.04.2020,16.07.2020,Solarbreeze
70.29,"Reposition Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach",03.04.2021,30.04.2021,Konklux
94.27,Fluoroscopy of Right Ureter using Low Osmolar Contrast,10.05.2021,03.10.2020,Tin
58.22,"Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",09.08.2020,13.02.2020,Job
96.12,Plain Radiography of Single Coronary Artery using High Osmolar Contrast,30.04.2021,06.03.2021,Span
24.81,"Excision of Right Peroneal Artery, Percutaneous Endoscopic Approach, Diagnostic",25.02.2021,06.06.2020,Latlux
36.81,"Introduction of Oxazolidinones into Nose, Percutaneous Approach",07.04.2021,24.03.2020,Flowdesk
46.54,"Inspection of Right Metacarpocarpal Joint, Percutaneous Approach",06.09.2019,03.07.2020,Matsoft
66.15,"Repair Left Metacarpophalangeal Joint, External Approach",13.07.2019,22.04.2021,Fintone
57.2,"Destruction of Left Cornea, External Approach",20.07.2019,28.03.2020,Namfix
62.87,"Removal of Internal Fixation Device from Left Radius, Percutaneous Endoscopic Approach",07.12.2019,04.06.2020,Stim
16.7,"Dilation of Right Internal Mammary Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",17.09.2019,03.11.2020,Zamit
91.3,"Drainage of Right Metacarpophalangeal Joint, Percutaneous Endoscopic Approach, Diagnostic",27.06.2020,17.10.2020,Sonsing
56.15,"Supplement Lower Vein with Nonautologous Tissue Substitute, Percutaneous Approach",01.11.2019,05.02.2021,Sonsing
4.43,"Bypass Left Common Iliac Vein to Lower Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",04.10.2019,22.10.2019,Voyatouch
74.4,"Excision of Left Ulna, Percutaneous Approach, Diagnostic",20.05.2019,20.06.2020,Voyatouch
35.1,"Removal of Synthetic Substitute from Tracheobronchial Tree, Percutaneous Approach",05.10.2020,23.07.2020,Solarbreeze
90.29,"Extirpation of Matter from Right Posterior Tibial Artery, Percutaneous Endoscopic Approach",18.05.2020,08.08.2020,Alphazap
27.59,Beam Radiation of Larynx using Neutrons,02.05.2020,05.01.2020,Flexidy
70.34,"Insertion of Internal Fixation Device into Left Lacrimal Bone, Percutaneous Approach",09.07.2020,25.11.2019,Flowdesk
67.16,"Removal of Synthetic Substitute from Larynx, External Approach",14.12.2020,14.02.2020,Stringtough
8.45,"Removal of Radioactive Element from Neck, Percutaneous Approach",01.03.2020,18.05.2020,Domainer
93.96,"Drainage of Left Trunk Bursa and Ligament, Open Approach",08.10.2019,18.01.2020,Bitwolf
1.64,"Revision of Radioactive Element in Lower Back, External Approach",14.05.2019,19.02.2021,Bitwolf
96.74,"Destruction of Right Upper Leg Tendon, Percutaneous Endoscopic Approach",19.06.2019,16.02.2021,It
3.59,"Reposition Left Metacarpocarpal Joint with Internal Fixation Device, External Approach",24.08.2020,12.06.2020,Otcom
48.5,"Restriction of Right Face Vein with Extraluminal Device, Percutaneous Approach",14.06.2020,14.02.2021,Cookley
38.87,Beam Radiation of Pancreas using Photons >10 MeV,30.03.2021,13.04.2020,Fintone
23.49,"Extirpation of Matter from Lower Artery, Percutaneous Approach",19.10.2019,06.02.2021,Temp
8.32,"Drainage of Right Ankle Region, Open Approach",11.09.2019,05.10.2019,Tresom
16.2,Plain Radiography of Multiple Coronary Artery Bypass Grafts using Other Contrast,30.10.2019,01.12.2020,Bytecard
23.45,"Supplement Left Lower Extremity Bursa and Ligament with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",05.06.2019,18.05.2021,Konklab
32.31,"Supplement Left Thumb with Synthetic Substitute, Open Approach",15.05.2021,28.05.2020,Latlux
88.42,"Removal of Infusion Device from Left Upper Extremity, Percutaneous Approach",06.07.2019,09.12.2019,Fintone
41.64,Receptive/Expressive Language Assessment,29.08.2020,01.01.2021,Subin
76.26,"Insertion of Infusion Device into Right Lung, Open Approach",11.02.2021,01.12.2019,Span
21.14,"Reattachment of Left Upper Leg, Open Approach",26.04.2020,19.10.2020,Zamit
19.58,"Excision of Right Lower Lung Lobe, Via Natural or Artificial Opening",27.02.2021,31.01.2020,Asoka
33.75,"Reposition Sternum with Rigid Plate Internal Fixation Device, Open Approach",07.11.2019,14.12.2019,Namfix
65.62,"Excision of Left Inferior Parathyroid Gland, Percutaneous Approach",16.06.2020,07.08.2020,Biodex
76.61,"Destruction of Phrenic Nerve, Open Approach",24.05.2019,09.03.2020,Ronstring
46.64,"Revision of Extraluminal Device in Lower Vein, Percutaneous Endoscopic Approach",27.09.2020,04.10.2020,Opela
43.91,"Dilation of Right Popliteal Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach",25.08.2020,06.01.2020,Cardify
35.38,"Release Left Thorax Tendon, Percutaneous Endoscopic Approach",25.11.2019,22.10.2020,Alphazap
46.64,"Release Thoracolumbar Vertebral Joint, Open Approach",09.04.2020,09.12.2019,Latlux
42.94,"Excision of Left Axillary Vein, Percutaneous Approach, Diagnostic",20.04.2021,18.12.2020,Sonair
89.36,"Excision of Tongue, Palate, Pharynx Muscle, Percutaneous Approach",18.03.2021,15.10.2020,Y-find
53.13,"Excision of Left Elbow Bursa and Ligament, Percutaneous Approach, Diagnostic",26.06.2019,01.04.2021,Keylex
8.59,"Release Trigeminal Nerve, Percutaneous Approach",25.10.2019,21.12.2020,Flexidy
88.81,"Reattachment of Right Abdomen Muscle, Open Approach",08.02.2020,10.06.2020,Cardify
31.78,Hyperthermia of Whole Body,28.05.2020,18.04.2021,Subin
62.27,High Dose Rate (HDR) Brachytherapy of Inguinal Lymphatics using Other Isotope,16.01.2021,23.10.2019,Gembucket
16.17,"Dilation of Left Axillary Artery, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach",28.01.2021,06.10.2020,Zoolab
74.32,Stereotactic Gamma Beam Radiosurgery of Pleura,04.04.2021,23.07.2020,Treeflex
99.92,"Bypass Left Femoral Artery to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",13.06.2020,24.05.2020,Cardify
51.07,"Drainage of Left Mandible with Drainage Device, Open Approach",02.06.2019,05.05.2021,Lotstring
17.8,"Restriction of Right External Iliac Artery, Open Approach",01.07.2020,04.05.2020,Temp
18.53,"Fluoroscopy of Bilateral Pelvic (Iliac) Veins using Other Contrast, Guidance",27.01.2021,02.01.2020,Flowdesk
34.93,"Revision of Infusion Pump in Upper Extremity Subcutaneous Tissue and Fascia, Open Approach",30.08.2019,09.04.2020,Home Ing
60.58,"Male Reproductive System, Bypass",20.07.2020,19.05.2021,Tres-Zap
96.73,"Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach",30.10.2020,07.03.2020,Home Ing
29.94,"Dilation of Left Common Carotid Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",03.10.2020,19.04.2020,Bitwolf
18.83,"Insertion of Infusion Device into Right Subclavian Vein, Open Approach",15.04.2021,10.11.2020,Mat Lam Tam
77.33,"Revision of Synthetic Substitute in Upper Back, External Approach",06.12.2020,05.01.2020,Bitchip
38.75,"Drainage of Right Superior Parathyroid Gland, Percutaneous Endoscopic Approach, Diagnostic",09.04.2021,31.01.2020,Subin
6.68,"Ultrasonography of Left Wrist, Densitometry",08.10.2020,30.07.2020,Y-find
24.86,"Transplantation of Right Ovary, Zooplastic, Open Approach",04.01.2021,12.09.2020,Temp
59.64,"Bypass Jejunum to Cecum with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",15.05.2021,25.11.2020,Overhold
16.22,"Revision of Infusion Device in Spleen, Percutaneous Endoscopic Approach",17.06.2020,01.01.2021,Ventosanzap
22.72,"Repair Right Thumb, Percutaneous Endoscopic Approach",09.05.2021,18.09.2020,Span
72.79,Beam Radiation of Ear using Photons >10 MeV,27.05.2020,03.12.2019,Duobam
24.65,"Repair Right Internal Carotid Artery, Percutaneous Approach",30.12.2020,08.12.2020,Redhold
45.39,"Reattachment of Left Diaphragm, Open Approach",04.09.2020,11.12.2020,Overhold
16.48,"Supplement Right Finger Phalangeal Joint with Synthetic Substitute, Percutaneous Endoscopic Approach",19.06.2019,31.03.2020,Stronghold
98.84,"Revision of Radioactive Element in Head, Open Approach",02.09.2020,28.02.2021,Wrapsafe
25.51,"Revision of Drainage Device in Right Ear, Via Natural or Artificial Opening",17.03.2021,04.12.2019,Konklux
81.53,"Drainage of Left Upper Leg Tendon with Drainage Device, Percutaneous Approach",13.07.2020,03.02.2021,Trippledex
41.47,"Revision of Extraluminal Device in Epididymis and Spermatic Cord, Via Natural or Artificial Opening",05.03.2021,07.05.2020,Vagram
24.47,"Dilation of Left Lesser Saphenous Vein, Open Approach",06.09.2019,12.05.2020,Solarbreeze
56.5,"Inspection of Bilateral Femoral Region, Percutaneous Approach",14.08.2019,22.10.2019,Bytecard
72.75,"Drainage of Lumbosacral Joint, Percutaneous Endoscopic Approach, Diagnostic",01.12.2019,17.09.2020,Lotstring
22.06,"Repair Right Vitreous, Percutaneous Approach",14.10.2019,19.08.2020,Voltsillam
60.59,"Destruction of Right Internal Mammary Artery, Percutaneous Approach",15.12.2020,09.04.2021,Holdlamis
68.72,"Excision of Posterior Neck Subcutaneous Tissue and Fascia, Open Approach",07.02.2020,17.04.2020,Latlux
20.83,"Fusion of Left Metacarpophalangeal Joint with Nonautologous Tissue Substitute, Open Approach",27.12.2020,10.07.2020,Keylex
60.34,"Bypass Right Common Iliac Artery to Left Internal Iliac Artery with Synthetic Substitute, Open Approach",16.03.2020,02.09.2020,Span
42.96,"Bypass Thoracic Aorta, Ascending/Arch to Pulmonary Trunk, Percutaneous Endoscopic Approach",10.12.2020,11.12.2019,Tempsoft
80.2,"Resection of Left Abdomen Muscle, Open Approach",28.01.2021,23.12.2020,Y-Solowarm
88.48,High Dose Rate (HDR) Brachytherapy of Tongue using Cesium 137 (Cs-137),19.10.2020,21.10.2020,Y-Solowarm
95.26,"Revision of Synthetic Substitute in Small Intestine, Percutaneous Endoscopic Approach",08.09.2019,05.05.2021,Vagram
94.79,"Fusion of Left Elbow Joint with External Fixation Device, Percutaneous Endoscopic Approach",15.12.2020,21.02.2021,Sonsing
89.07,"Revision of Synthetic Substitute in Left Metatarsal-Tarsal Joint, Percutaneous Endoscopic Approach",21.04.2020,22.12.2020,Zoolab
74.07,"Excision of Right Kidney Pelvis, Via Natural or Artificial Opening Endoscopic, Diagnostic",20.04.2021,11.04.2020,Hatity
16.54,Osteopathic Treatment of Thoracic Region using General Mobilization,24.08.2020,15.06.2020,Mat Lam Tam
30.18,"Supplement Chordae Tendineae with Synthetic Substitute, Percutaneous Approach",04.04.2020,27.05.2020,Toughjoyfax
79.28,"Removal of Synthetic Substitute from Sacrococcygeal Joint, Open Approach",15.02.2020,10.01.2020,Bytecard
6.08,"Alteration of Right External Ear with Nonautologous Tissue Substitute, External Approach",25.03.2020,24.08.2020,Tres-Zap
98.15,"Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Via Natural or Artificial Opening Endoscopic",03.11.2020,04.04.2021,Bitchip
64.5,"Insertion of Radioactive Element into Lower Back, Open Approach",15.05.2021,15.07.2020,Lotlux
40.83,"Revision of Radioactive Element in Mediastinum, Percutaneous Endoscopic Approach",16.05.2020,26.06.2020,Temp
84.36,"Dilation of Right Hand Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach",02.07.2019,20.10.2020,Fix San
1.79,"Upper Joints, Fusion",11.09.2020,03.01.2020,Ventosanzap
51.16,"Supplement Inferior Mesenteric Artery with Nonautologous Tissue Substitute, Percutaneous Approach",12.02.2021,17.11.2019,Zoolab
48.24,"Drainage of Bilateral Adrenal Glands, Open Approach",11.05.2019,14.10.2020,Otcom
70.03,"Excision of Right Acromioclavicular Joint, Percutaneous Endoscopic Approach, Diagnostic",16.07.2020,11.01.2021,Hatity
51.65,"Reposition Thoracolumbar Vertebral Joint, Percutaneous Endoscopic Approach",20.11.2019,03.04.2020,Otcom
36.9,"Drainage of Left Toe Phalangeal Joint with Drainage Device, Open Approach",13.03.2020,12.07.2020,Zamit
41.2,"Insertion of Intraluminal Device into Rectum, Via Natural or Artificial Opening Endoscopic",08.04.2021,12.05.2021,Asoka
25.25,"Drainage of Gastric Artery, Open Approach",29.05.2019,03.04.2021,Solarbreeze
43.48,"Release Azygos Vein, Percutaneous Approach",06.01.2020,06.03.2021,Solarbreeze
51.21,"Transfer Hypoglossal Nerve to Accessory Nerve, Open Approach",06.01.2020,04.07.2020,Zontrax
38.21,"Drainage of Left Sternoclavicular Joint, Open Approach, Diagnostic",30.11.2019,25.05.2020,Flexidy
62.75,"Peripheral Nervous System, Extraction",15.02.2021,05.11.2020,Ventosanzap
89.68,"Removal of Spacer from Left Sternoclavicular Joint, Percutaneous Approach",14.03.2021,08.11.2019,Y-find
22.01,"Drainage of Left Brachial Artery, Percutaneous Approach",19.01.2021,24.01.2020,Tempsoft
93.76,Fluoroscopy of Right Lower Extremity Veins using Low Osmolar Contrast,31.01.2021,16.02.2021,Flexidy
2.66,"Repair Cardiovascular System in Products of Conception, Percutaneous Endoscopic Approach",21.05.2021,25.11.2020,Kanlam
90.74,"Insertion of Internal Fixation Device into Cervicothoracic Vertebral Joint, Open Approach",07.04.2020,25.10.2020,Flowdesk
92.36,"Revision of Synthetic Substitute in Left Wrist Joint, Percutaneous Approach",10.12.2019,16.06.2020,Daltfresh
89.18,"Occlusion of Abdominal Aorta with Extraluminal Device, Open Approach",27.07.2020,14.05.2021,Domainer
5.12,"Reposition Left Toe Phalangeal Joint with Internal Fixation Device, Percutaneous Endoscopic Approach",06.08.2020,10.03.2021,Greenlam
57.09,"Supplement Right Vas Deferens with Autologous Tissue Substitute, Open Approach",14.12.2020,31.03.2021,Konklux
79.14,"Excision of Left Carpal Joint, Open Approach",26.01.2020,21.11.2020,Veribet
40.2,Computerized Tomography (CT Scan) of Left Pelvic (Iliac) Veins,12.12.2020,13.01.2021,Alphazap
8.19,"Replacement of Right Hypogastric Vein with Autologous Tissue Substitute, Open Approach",12.09.2020,21.03.2021,Veribet
36.3,High Dose Rate (HDR) Brachytherapy of Uterus using Iodine 125 (I-125),04.07.2019,16.05.2021,Prodder
73.59,"Bypass Gallbladder to Small Intestine, Open Approach",16.02.2021,31.07.2020,Biodex
64.36,"Repair Right Ethmoid Sinus, Open Approach",08.08.2019,02.11.2020,Zoolab
33.9,"Transplantation of Left Kidney, Zooplastic, Open Approach",06.12.2019,10.04.2020,Cookley
91.72,"Release Right Elbow Bursa and Ligament, External Approach",22.06.2019,14.02.2021,Voyatouch
79.32,"Drainage of Right Upper Extremity Lymphatic with Drainage Device, Percutaneous Endoscopic Approach",23.09.2020,17.08.2020,Daltfresh
99.73,"Supplement Left Temporal Bone with Autologous Tissue Substitute, Open Approach",20.08.2020,27.04.2021,Bitchip
45.43,"Extirpation of Matter from Right Eustachian Tube, Open Approach",22.05.2020,29.11.2019,Temp
26.54,Removal of Cast on Head,20.04.2020,14.04.2021,Alpha
76.49,"Release Cervical Vertebral Joint, External Approach",11.06.2020,27.04.2020,Asoka
52.08,"Supplement Left Femoral Vein with Nonautologous Tissue Substitute, Percutaneous Approach",03.03.2020,02.12.2019,Solarbreeze
55.96,"Revision of Internal Fixation Device in Right Shoulder Joint, External Approach",13.04.2021,01.02.2020,Voltsillam
2.96,"Insertion of Infusion Device into Ileum, Via Natural or Artificial Opening Endoscopic",17.08.2020,08.03.2020,It
50.95,"Revision of Nonautologous Tissue Substitute in Right Lower Extremity, Open Approach",25.03.2021,14.06.2020,Subin
84.95,"Reposition Left Occipital Bone with Internal Fixation Device, Open Approach",21.12.2020,06.04.2020,Konklab
2.14,"Bypass Right Axillary Artery to Upper Arm Vein with Autologous Arterial Tissue, Open Approach",12.09.2019,17.10.2019,Vagram
80.97,Change Traction Apparatus on Right Finger,13.11.2020,02.11.2019,Alphazap
35.39,"Replacement of Left Metacarpophalangeal Joint with Nonautologous Tissue Substitute, Open Approach",08.04.2021,13.11.2020,Veribet
18.85,Stereotactic Particulate Radiosurgery of Mediastinum,27.09.2020,01.10.2020,Namfix
13.83,"Repair Nasal Turbinate, Percutaneous Endoscopic Approach",14.04.2020,25.12.2020,It
60.51,"Occlusion of Celiac Artery with Extraluminal Device, Percutaneous Endoscopic Approach",07.06.2020,29.12.2019,It
70.85,"Reposition Left Tarsal Joint with Internal Fixation Device, Percutaneous Endoscopic Approach",01.07.2019,21.10.2020,Asoka
95.96,"Supplement Left Diaphragm with Synthetic Substitute, Open Approach",05.07.2020,06.09.2020,Job
95.37,Compression of Left Finger using Pressure Dressing,13.06.2020,20.09.2020,Bitchip
39.13,"Drainage of Lumbar Sympathetic Nerve with Drainage Device, Percutaneous Approach",03.02.2021,07.01.2020,Fixflex
63.93,"Restriction of Bladder Neck with Extraluminal Device, Percutaneous Approach",12.01.2021,18.04.2021,Sonair
79.21,"Replacement of Thoracic Aorta, Descending with Nonautologous Tissue Substitute, Open Approach",29.02.2020,18.12.2019,Cookley
34.8,"Bypass Right Common Iliac Vein to Lower Vein with Autologous Arterial Tissue, Open Approach",21.06.2019,02.04.2021,Viva
66.04,"Dilation of Face Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",01.08.2020,30.10.2019,Toughjoyfax
52.59,"Revision of Bone Growth Stimulator in Skull, External Approach",12.01.2020,12.05.2021,Sub-Ex
85.21,"Extirpation of Matter from Left Lung, Percutaneous Endoscopic Approach",31.08.2019,30.03.2021,Tempsoft
93.82,Sensory Awareness/Processing/Integrity Assessment of Musculoskeletal System - Whole Body,05.09.2019,01.03.2020,Viva
86.79,"Insertion of Internal Fixation Device into Right Temporomandibular Joint, Open Approach",02.10.2020,26.05.2020,Biodex
7.87,"Revision of Autologous Tissue Substitute in Hepatobiliary Duct, Via Natural or Artificial Opening Endoscopic",25.03.2020,10.02.2021,Veribet
43.17,"Drainage of Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach",26.11.2019,22.11.2020,Gembucket
96.09,"Restriction of Right Thyroid Artery with Extraluminal Device, Open Approach",11.07.2019,20.02.2020,Solarbreeze
54.6,"Restriction of Right Upper Lobe Bronchus, Percutaneous Approach",05.03.2020,26.11.2020,Holdlamis
62.39,"Supplement Right Ventricle with Synthetic Substitute, Open Approach",16.01.2021,28.11.2020,Bitchip
50,"Insertion of Other Device into Cranial Cavity, Open Approach",15.07.2020,09.04.2021,Regrant
25.7,"Bypass Left Femoral Artery to Lower Extremity Artery with Synthetic Substitute, Percutaneous Endoscopic Approach",29.05.2021,28.06.2020,Bamity
11.93,Contact Radiation of Radius/Ulna,24.01.2020,15.10.2019,Flowdesk
25.6,"Supplement Left Metatarsal-Tarsal Joint with Synthetic Substitute, Percutaneous Endoscopic Approach",06.02.2021,27.08.2020,Quo Lux
46.97,"Occlusion of Lower Vein, Open Approach",02.11.2020,02.05.2020,Alphazap
84.64,"Bypass Right Brachial Artery to Right Lower Arm Artery with Synthetic Substitute, Open Approach",10.03.2021,30.10.2019,Lotlux
98.32,Magnetic Resonance Imaging (MRI) of Uterus and Ovaries using Other Contrast,31.07.2019,18.05.2020,Mat Lam Tam
77.29,"Occlusion of Left Axillary Vein with Intraluminal Device, Percutaneous Approach",21.11.2019,15.05.2021,Otcom
5.28,"Reposition Left Upper Femur with Ring External Fixation Device, Percutaneous Endoscopic Approach",20.09.2019,19.05.2020,Duobam
31.93,"Replacement of Right Hepatic Duct with Synthetic Substitute, Percutaneous Endoscopic Approach",11.06.2020,29.10.2020,Zamit
